Name,State,Year
Patrick B. Driscoll,Connecticut,1913
Daniel J. Lane,Connecticut,1913
Bennett W. Dorman,Connecticut,1915
Joseph T. Robbins,Connecticut,1916
Robert W. Kappenburg,Connecticut,1916
John E. Durkin,Connecticut,1918
William Kinney,Connecticut,1918
Patrick J. Shea,Connecticut,1919
William F. Madden,Connecticut,1919
Patrick F. Cannon,Connecticut,1919
Thomas M. Knevet,Connecticut,1919
Ralph Cosmer Young,Connecticut,1920
John F. Donahue,Connecticut,1920
John M. Bonin,Connecticut,1922
Pearle E. Roberts,Connecticut,1922
John H. Kane,Connecticut,1923
Lawrence Murphy,Connecticut,1924
James Skelly,Connecticut,1924
George Walter Mills,Connecticut,1924
William J. Stokes,Connecticut,1925
Bartholomew M. Skelly,Connecticut,1925
William E. Bowman,Connecticut,1927
James Alexander,Connecticut,1927
Irving H. Nelson,Connecticut,1928
Lloyd J. Eukers,Connecticut,1928
Raymond Zoller,Connecticut,1929
William J. Robbins,Connecticut,1929
Stanley C. Hellberg,Connecticut,1929
James McNamee,Connecticut,1930
Matthew J. McNally,Connecticut,1930
Frank S. Stratton,Connecticut,1930
John Kingsley Palmer,Connecticut,1932
George Zint,Connecticut,1932
Leonard H. Watson,Connecticut,1932
Joseph P. Sullivan,Connecticut,1932
Edward F. Ryan,Connecticut,1933
Michael J. Carroll,Connecticut,1934
John B. DeCarli,Connecticut,1935
Walter Koella,Connecticut,1935
Thomas P. Kearney,Connecticut,1935
Wilford Walker,Connecticut,1935
Frank A. Gwiazdowski,Connecticut,1936
William Francis Frawley,Connecticut,1936
Edward H. Wendland,Connecticut,1938
Andrew Louis Schlechtweg,Connecticut,1938
Timothy Foley,Connecticut,1938
Daniel T. O'Connell,Connecticut,1938
George D. Kelley,Connecticut,1938
Charles F. Hill,Connecticut,1941
John E. Palmatier,Connecticut,1941
James William Burns,Connecticut,1941
Edward P. Jesmonth,Connecticut,1943
Milton L. Hodder,Connecticut,1943
Ernest Walter Schilke,Connecticut,1944
Joseph P. McCormack,Connecticut,1944
Kenneth W. Stevens,Connecticut,1944
Herbert Orlando Parsell,Connecticut,1945
William F. Schreiber,Connecticut,1946
Frank A. Starkel,Connecticut,1948
Leroy Dunn,Connecticut,1950
Anthony Barbieri,Connecticut,1950
William J. Grabeck,Connecticut,1951
Ernest J. Morse,Connecticut,1953
Otto Ernest Dobratz,Connecticut,1953
Ralph Palma,Connecticut,1954
Joseph Pych,Connecticut,1954
Robert J. Keating,Connecticut,1955
"Charles Yodkins, Sr.",Connecticut,1955
Frank D. Romano,Connecticut,1958
Stephen Edward Wilson,Connecticut,1959
David D. Troy,Connecticut,1960
James W. Lambert,Connecticut,1960
Leonard J. LaManna,Connecticut,1961
Sherrold H. Gorton,Connecticut,1962
"Joseph M. Stoba, Jr.",Connecticut,1962
Henry W. Jennings,Connecticut,1964
Harmon Kenneth Couch,Connecticut,1964
William F. Rich,Connecticut,1964
Aldo J. Santini,Connecticut,1964
Frederick Potter Ellis,Connecticut,1964
Frank Donarumo,Connecticut,1964
Farris J. Resha,Connecticut,1966
James Cavanaugh,Connecticut,1966
Harvey R. Young,Connecticut,1967
Louis P. Rienzo,Connecticut,1967
Paul Joseph Beaupre,Connecticut,1967
Joseph O'Brien,Connecticut,1968
Arthur R. Salthouse,Connecticut,1969
Francis X. Fenton,Connecticut,1969
Frank T. Hawley,Connecticut,1970
Nicholas W. Fera,Connecticut,1971
John J. Montabana,Connecticut,1974
Lloyd M. Kozenieski,Connecticut,1974
Steven D. Michalko,Connecticut,1976
Carl P. Moller,Connecticut,1976
John F. Daley,Connecticut,1977
"Robert Michael ""Bob"" Holcomb",Connecticut,1977
Norman Allard,Connecticut,1978
Edward T. Cody,Connecticut,1979
Gerald T. DiJoseph,Connecticut,1980
"Timothy W. Laffin, Sr.",Connecticut,1980
Robert F. Stankye,Connecticut,1981
"Kenneth E. Bateman, Jr.",Connecticut,1981
Thomas Dean Jahelka,Connecticut,1981
Thomas F. Carney,Connecticut,1982
Marco T. Carias,Connecticut,1982
Jeffery G. Casner,Connecticut,1985
James H. Savage,Connecticut,1986
Daniel Scott Wasson,Connecticut,1987
Jorge A. Agosto,Connecticut,1989
Russell A. Bagshaw,Connecticut,1991
Nancy Ellen Nichols,Connecticut,1991
James Anthony Martin,Connecticut,1991
"Walter T. Williams, III",Connecticut,1992
Edward W. Truelove,Connecticut,1992
Phillip A. Mingione,Connecticut,1994
"William J. Snyder, Sr.",Connecticut,1994
Thomas B. Toohey,Connecticut,1996
Bruce Hanley,Connecticut,1997
Vincent R. T. Arduini,Connecticut,1997
"James V. Spignesi, Jr.",Connecticut,1998
Brian A. Aselton,Connecticut,1999
George Ross Dingwall,Connecticut,2000
"Joseph N. Sachatello, III",Connecticut,2003
Peter J. Lavery,Connecticut,2004
Daniel Patrick Picagli,Connecticut,2006
Robert Fumiatti,Connecticut,2007
Dario Scott Aponte,Connecticut,2008
Marcia Lynn Stella,Connecticut,2008
Kenneth Ray Hall,Connecticut,2010
"Orville Royal Smith, Jr.",Connecticut,2010
Andrew F. Faggio,Connecticut,2012
Stephen A. Ketchum,Connecticut,2016
"Walter Greene, Jr.",Connecticut,2018
Kevin Michael Miller,Connecticut,2018
Matthew Bradley Mainieri,Connecticut,2018
"Eugene Kenneth Baron, Jr.",Connecticut,2020
Josip Peperni,Connecticut,2021
Brian Erik Mohl,Connecticut,2021
Diane Gonzalez,Connecticut,2022
Dustin Demonte,Connecticut,2022
Alex Hamzy,Connecticut,2022
George A. Davidson,Delaware,1852
John F. Baylis,Delaware,1863
Andrew T. Peterson,Delaware,1885
Charles W. Schultz,Delaware,1891
"Herbert ""Hub"" Haynes",Delaware,1900
John F. Campbell,Delaware,1909
Thomas C. McCullough,Delaware,1910
Francis X. Tierney,Delaware,1915
Thomas L. Zebley,Delaware,1919
Francis Ryan,Delaware,1922
Mary T. Davis,Delaware,1924
Charles Thorn,Delaware,1926
Howard P. Atwell,Delaware,1926
Milton A. Wimbrow,Delaware,1931
"Charles Wilson Futcher, Sr.",Delaware,1939
"Willard E. Pruitt, Jr.",Delaware,1944
Paul H. Sherman,Delaware,1945
"Thomas P. Conaty, Jr.",Delaware,1946
Leroy L. LeKites,Delaware,1950
Raymond B. Wilhelm,Delaware,1951
William F. Mayer,Delaware,1955
Harry Passmore Cloud,Delaware,1955
Harold Bruce Rupert,Delaware,1962
James Henry Hill,Delaware,1970
William C. Keller,Delaware,1971
Wallace A. Melson,Delaware,1971
Paul John Sweeney,Delaware,1972
Ronald L. Carey,Delaware,1972
David C. Yarrington,Delaware,1972
George W. Emory,Delaware,1972
David Bruce Pulling,Delaware,1987
Gerard T. Dowd,Delaware,1990
Kevin J. Mallon,Delaware,1990
Francis T. Schneible,Delaware,1993
Robert H. Bell,Delaware,1993
Vincent A. Julia,Delaware,1996
Sandra Marie Wagner,Delaware,1996
"Harvey A. Gregg, Jr.",Delaware,1998
Frances Marie Collender,Delaware,2001
Christopher Michael Shea,Delaware,2004
Chad Ernest Spicer,Delaware,2009
Joseph Lawrence Szczerba,Delaware,2011
"Thomas John Hannon, Sr.",Delaware,2017
"Steven Romell Floyd, Sr.",Delaware,2017
Stephen Jamelle Ballard,Delaware,2017
Michael Shannon Robinson,Delaware,2017
Keith Andrew Heacook,Delaware,2021
Francis M. Doyle,District of Columbia,1871
Robert Fleet,District of Columbia,1874
John H. Fowler,District of Columbia,1884
Americus N. Crippin,District of Columbia,1889
Adolphus C. Constantine,District of Columbia,1891
Junius B. Slack,District of Columbia,1891
"Frederick M. ""Fritz"" Passau",District of Columbia,1899
John J. Smith,District of Columbia,1904
William E. Yetton,District of Columbia,1908
William H. Mathews,District of Columbia,1909
Eugene Calvin Smith,District of Columbia,1910
William Charles Farquhar,District of Columbia,1913
Willie R. Gawen,District of Columbia,1915
Lewis Washington Roper,District of Columbia,1917
Lester M. Kidwell,District of Columbia,1918
John A. Conrad,District of Columbia,1918
David T. Dunigan,District of Columbia,1918
Harry Wilson,District of Columbia,1919
Isaac B. Halbfinger,District of Columbia,1919
James E. Armstrong,District of Columbia,1919
Oscar A. McKimmie,District of Columbia,1920
Preston E. Bradley,District of Columbia,1921
George D. Chinn,District of Columbia,1921
Samuel C. Hayden,District of Columbia,1921
Edmund P. Keleher,District of Columbia,1922
John Purcell,District of Columbia,1923
Frederick G. Stange,District of Columbia,1923
Raymond C. Leisinger,District of Columbia,1924
Claude C. Koontz,District of Columbia,1925
Earl A. Skinner,District of Columbia,1926
Leo W. K. Busch,District of Columbia,1926
Claude O. Rupe,District of Columbia,1928
James G. Helm,District of Columbia,1928
Harry J. McDonald,District of Columbia,1929
John Francis McAuliffe,District of Columbia,1929
Edgar Preston Alexander,District of Columbia,1929
William S. Buchanan,District of Columbia,1929
Ross H. Kaylor,District of Columbia,1929
Frank J. Scoville,District of Columbia,1930
Frederick W. Bauer,District of Columbia,1930
Jessie L. Taylor,District of Columbia,1931
Charles D. Poole,District of Columbia,1931
Arthur H. Gelhar,District of Columbia,1931
George W. Shinault,District of Columbia,1932
Elmer A. Swanson,District of Columbia,1932
Raymond V. Sinclair,District of Columbia,1934
Frank L. Nussbaum,District of Columbia,1936
Paul W. Jones,District of Columbia,1936
Richard T. Conklin,District of Columbia,1938
Ernest T. Wessells,District of Columbia,1938
Raymond E. Grant,District of Columbia,1939
"Charles F. Cummins, Jr.",District of Columbia,1940
Uel M. Gaile,District of Columbia,1940
Robert W. Davis,District of Columbia,1940
Irving Rosenburg,District of Columbia,1942
Charles R. Johnston,District of Columbia,1943
"William J. Weston, Jr.",District of Columbia,1945
Richard H. Taylor,District of Columbia,1946
Harry E. Hamilton,District of Columbia,1946
Donald W. Downs,District of Columbia,1946
Hubert W. Estes,District of Columbia,1947
Grady A. Beacham,District of Columbia,1948
Mortimer P. Donoghue,District of Columbia,1948
George W. Cassels,District of Columbia,1953
Michael Francis Hughes,District of Columbia,1958
Lester G. Myers,District of Columbia,1958
Harold K. Shelton,District of Columbia,1959
Terrell M. Dodson,District of Columbia,1960
Donald J. Brereton,District of Columbia,1960
James Roche,District of Columbia,1962
Martin I. Donovan,District of Columbia,1964
Robert D. Handwerk,District of Columbia,1964
Marcus P. Willis,District of Columbia,1965
Marvin Lee Stocker,District of Columbia,1966
Russell W. Ponton,District of Columbia,1967
Gilbert M. Silvia,District of Columbia,1967
Eugene I. Williams,District of Columbia,1968
Stephen Acheson Williams,District of Columbia,1968
Lawrence Lewellyn Dorsey,District of Columbia,1968
"Willie C. Ivery, Jr.",District of Columbia,1968
Michael J. Cody,District of Columbia,1969
David C. Hawfield,District of Columbia,1969
Allan L. Nairn,District of Columbia,1969
David H. Rose,District of Columbia,1971
Glen Patrick Fisher,District of Columbia,1971
William L. Sigmon,District of Columbia,1971
Jerrard F. Young,District of Columbia,1971
Jerry Wayne Morris,District of Columbia,1971
Ronnie W. Hassell,District of Columbia,1972
Dana Edward Harwood,District of Columbia,1972
Michael Roy Kirby,District of Columbia,1973
Gail A. Cobb,District of Columbia,1974
Michael J. Acri,District of Columbia,1976
Mack Wesley Cantrell,District of Columbia,1977
Bruce W. Wilson,District of Columbia,1977
"Bernis Carr, Jr.",District of Columbia,1978
Alfred V. Jackson,District of Columbia,1979
Richard F. Giguere,District of Columbia,1979
Arthur P. Snyder,District of Columbia,1980
Robert K. Best,District of Columbia,1982
Donald G. Luning,District of Columbia,1982
Raymond E. Mumford,District of Columbia,1983
Joseph M. Cournoyer,District of Columbia,1985
Kevin Joseph Welsh,District of Columbia,1986
Robert Remington,District of Columbia,1987
James L. Gordon,District of Columbia,1987
"Ernest Carlyle Ricks, III",District of Columbia,1989
Ronald Levert Richardson,District of Columbia,1991
"Harry Davis, Jr.",District of Columbia,1993
Jason Edward White,District of Columbia,1993
"Henry Joseph ""Hank"" Daly",District of Columbia,1994
Scot Shaffer Lewis,District of Columbia,1995
"James Madison McGee, Jr.",District of Columbia,1995
"Amos Williams, Jr.",District of Columbia,1996
Anthony W. Simms,District of Columbia,1996
"Oliver Wendell Smith, Jr.",District of Columbia,1997
Brian T. A. Gibson,District of Columbia,1997
"Robert L. Johnson, Jr.",District of Columbia,1997
"Thomas Franklin Hamlette, Jr.",District of Columbia,1998
Marlon Francisco Morales,District of Columbia,2001
"Clifton Rife, II",District of Columbia,2004
John Samuel Ashley,District of Columbia,2004
James C. McBride,District of Columbia,2005
Joseph Pozell,District of Columbia,2005
"Gerard Walter Burke, Jr.",District of Columbia,2006
Wayne Pitt,District of Columbia,2007
Paul Michael Dittamo,District of Columbia,2010
Carolyn Ann Cross,District of Columbia,2014
Kenneth J. Moore,District of Columbia,2020
Mark Randall Eckenrode,District of Columbia,2020
"Keith D. Williams, Sr.",District of Columbia,2020
Maurica Manyan,District of Columbia,2022
John Yeomans,Florida,1840
Lewis Williams,Florida,1844
Jesse Dickson,Florida,1866
Ignatio Andrea,Florida,1869
David William L. Mizell,Florida,1870
William Johnson,Florida,1870
Daniel Jackson Brownell,Florida,1872
Richard Roach,Florida,1874
Thomas H. Branch,Florida,1875
James W. Williams,Florida,1876
Joseph Nelson,Florida,1880
Burrell E. Dawkins,Florida,1881
William Beasley,Florida,1885
George Washington Epperson,Florida,1885
Silas W. Campbell,Florida,1886
John William Robert Gordon,Florida,1889
Carlton Lowe,Florida,1890
Henry W. Epperson,Florida,1890
David Levy Alvarez,Florida,1891
Joseph Robinson,Florida,1891
Herbert Julius Hard,Florida,1892
James George Binnicker,Florida,1893
William Erastus Whitehurst,Florida,1893
Daniel Douglas,Florida,1893
Pope Gray,Florida,1893
Joseph A. Peeler,Florida,1894
Jefferson Davis Kurtz,Florida,1895
John McCormick,Florida,1895
Edward Minor,Florida,1895
Jasper N. Higginbotham,Florida,1895
"Murrettus ""Rhett"" McGregor",Florida,1895
Gustav A. Kaiser,Florida,1895
William E. Gruber,Florida,1897
William Kurtz Kremer,Florida,1898
"Dennis B. ""Cap"" Jenkins",Florida,1899
Andrew J. Kite,Florida,1899
Van B. Jackson,Florida,1899
James McIntosh McMullen,Florida,1899
Charles M. Sadler,Florida,1899
John Yelverton,Florida,1899
Thompson Brooks Simkins,Florida,1899
Henry H. Raley,Florida,1900
William T. Strange,Florida,1900
Frank E. Adams,Florida,1901
William B. Mathis,Florida,1901
Stephen Frank Edwards,Florida,1901
William Henry Dawkins,Florida,1901
Jeff Jones,Florida,1903
John Harry Bowman,Florida,1903
Henry O. Richarde,Florida,1903
Charles Edward Williams,Florida,1903
Rufus Archibald Thrift,Florida,1904
Clarence K. Till,Florida,1904
Everett E. Johns,Florida,1905
Samuel J. Carter,Florida,1905
James J. Mitchell,Florida,1905
Guy M. Bradley,Florida,1905
Charles Wilson,Florida,1906
William B. Burnham,Florida,1906
Charles Mortimer Kurtz,Florida,1907
William Park Edwards,Florida,1907
John D. Owens,Florida,1908
J. W. Newsome,Florida,1908
George Lasonro Bryant,Florida,1908
Edward Adolphus George,Florida,1908
Columbus G. McLeod,Florida,1908
"William  ""Bill"" Hudson",Florida,1908
"Sheldon S. ""Shelley"" Nicks",Florida,1909
J. D. Carter,Florida,1909
Willie M. Langston,Florida,1909
Hezekiah E. Hires,Florida,1910
William E. Hutson,Florida,1910
Edward Matthews,Florida,1910
Robert E. Yates,Florida,1911
Abe Schneider,Florida,1911
Guy White,Florida,1911
Daniel Stanley Hansford,Florida,1911
Luther B. Henderson,Florida,1911
Charles H. Slaughter,Florida,1912
Josiah M. Hall,Florida,1912
Peder Thomas Johnson,Florida,1913
Walter Wren Ball,Florida,1913
Theodore Shelton Cherry,Florida,1913
Napolean B. Hagan,Florida,1913
John Clifton,Florida,1914
"John Rhinehart ""Bob"" Riblet",Florida,1915
Joseph S. Walker,Florida,1915
Moses Dykes,Florida,1915
Wilber W. Hendrickson,Florida,1915
William Louis Cox,Florida,1915
Daniel S. Carlton,Florida,1915
John Henry Wiggins,Florida,1916
Samuel George Wynne,Florida,1916
James Ronco,Florida,1916
Allen Butler Henderson,Florida,1916
W. Raiford Royals,Florida,1916
William Z. Henderson,Florida,1916
Charles R. Williams,Florida,1916
William Crayton Newberry,Florida,1917
"Benjamin Franklin ""Frank"" Hagan",Florida,1917
Charles E. Scott,Florida,1917
James M. Freeman,Florida,1918
Cornelius Rain,Florida,1918
Jay Lemeul Forehand,Florida,1919
Charles F. Turknett,Florida,1919
Bob C. Wilcox,Florida,1919
Henry A. Everett,Florida,1920
Juan Nales,Florida,1920
James S. Thomas,Florida,1921
John L. Ivey,Florida,1921
John Luff Owens,Florida,1921
Richard Roy Marler,Florida,1921
Rueben T. Jones,Florida,1921
John Monroe Summerlin,Florida,1921
William Robert Monroe,Florida,1921
Frank Angelo Croff,Florida,1921
Robert Edward Arnow,Florida,1921
H. Richard Bennett,Florida,1921
George Clem Douglas,Florida,1921
Henry R. Lett,Florida,1922
Oliver Thomas Smith,Florida,1922
Arthur Fleece Crenshaw,Florida,1922
James Cleveland Jacobs,Florida,1922
Hardy A. Revels,Florida,1922
A. Cary Ellis,Florida,1923
Charles D. Bryant,Florida,1923
Joseph Nelson Smith,Florida,1923
William J. Kelly,Florida,1924
Henry Franklin Knowles,Florida,1924
"Walter S. Stroman, Jr.",Florida,1924
William Morgan Payton,Florida,1924
Henry Gordon,Florida,1924
Dillon Duncan Brooke,Florida,1924
Frederick A. Baker,Florida,1924
Perry Eugene Bostick,Florida,1924
James Lee Hux,Florida,1924
Laurie Lafayette Wever,Florida,1925
Hubert Carl Paul,Florida,1925
Israel Shepard Hughes,Florida,1925
John D. Marchbanks,Florida,1926
J. Edward Harrelson,Florida,1926
Everett E. Blewfield,Florida,1926
John M. Cash,Florida,1926
Owen Coleman,Florida,1926
William Henry O'Berry,Florida,1926
Alan Osman Warren,Florida,1926
Charles Benjamin Jones,Florida,1927
Jesse L. Morris,Florida,1927
Perry Alonzo Turlington,Florida,1927
"George W. ""Son"" Durrance",Florida,1927
Perry Hall,Florida,1927
Samuel J. Callaway,Florida,1927
Albert R. Johnson,Florida,1927
Clyde C. Dixon,Florida,1928
Ike Steele,Florida,1928
Francis Cyril Guest,Florida,1928
Ralph G. Langworthy,Florida,1928
W. R. Richardson,Florida,1928
David C. Bearden,Florida,1928
James Franklin Beckham,Florida,1928
Augustus S. McCann,Florida,1928
Phillip Lee,Florida,1928
William Irwin,Florida,1929
Thomas G. Blount,Florida,1929
Sidney Clarence Crews,Florida,1929
Jesse J. Barber,Florida,1929
Eugene W. Minor,Florida,1929
L. M. Dyer,Florida,1929
Robert L. Smithwick,Florida,1929
Wayne M. Barry,Florida,1929
Lewis Tanner,Florida,1930
James Frank Surrency,Florida,1930
Matthew Gerome Hisler,Florida,1930
John R. O'Steen,Florida,1930
Willie D. Smith,Florida,1930
Nathan Hattaway,Florida,1930
Charles Dennis Clark,Florida,1930
Benny P. Stricklin,Florida,1931
Norman Pearson,Florida,1931
William E. Hutto,Florida,1931
C. F. Bazzell,Florida,1932
Paul Matthew Patrick,Florida,1932
"Ivie ""Ira"" Fowler",Florida,1932
Thomas Alonzo Nicholson,Florida,1932
Frank Dixon,Florida,1932
William T. Barnett,Florida,1932
Lawrence B. Hall,Florida,1932
J. Thomas Watts,Florida,1933
John I. Brubaker,Florida,1933
Robert Lee Jester,Florida,1933
"Lamar L. Knight, Sr.",Florida,1933
Forrest Lee Libscomb,Florida,1933
John Edward Dickson,Florida,1933
Frank S. Quigley,Florida,1933
Egbert C. Moore,Florida,1933
Frank Arthur Pike,Florida,1933
William Arthur May,Florida,1934
Lamar W. Sledge,Florida,1934
Steve R. Bennett,Florida,1934
Sidney Slaughter,Florida,1934
"Herman G. ""Hampsy"" Arndt",Florida,1934
Dave Ham,Florida,1934
Bryan A. Reese,Florida,1935
Jack Grace Wadlington,Florida,1935
Soren Andersen Sorensen,Florida,1935
William D. Pledger,Florida,1935
"Edward Tullis Winn, Jr.",Florida,1935
Robert Boyle,Florida,1936
Samuel D. Hicks,Florida,1936
"Royston Earl Walker, Jr.",Florida,1936
William Lawrence Nichols,Florida,1936
Myrle Atacus Whidden,Florida,1936
Jackson Pinkston Bennett,Florida,1936
"Pascal Powell ""Pat"" Brown",Florida,1936
John W. Morgan,Florida,1936
Lewis Allen Conner,Florida,1937
Clarence E. Ballou,Florida,1937
John P. Ellis,Florida,1937
Willie R. Denson,Florida,1937
Harry Grassman Mason,Florida,1937
William G. Newberry,Florida,1937
Hezekiah H. Williams,Florida,1937
Bishop W. Haney,Florida,1937
James W. Thornton,Florida,1937
Daniel Clayton Adkinson,Florida,1938
Homer Collins Barton,Florida,1938
Thomas M. Chevis,Florida,1938
Clinton A. Green,Florida,1938
Rufus William Walters,Florida,1938
Archie Bowman,Florida,1938
Joe Nance,Florida,1939
Herbert Hatcher,Florida,1939
William David Thomas,Florida,1940
Patrick Howell Baldwin,Florida,1940
Wesley Frank Thompson,Florida,1941
Lester H. Henley,Florida,1941
Luther Paul Daniel,Florida,1941
Arthur L. Berry,Florida,1941
Mallory Williams,Florida,1941
Denson L. Hudson,Florida,1941
Elmer L. Michael,Florida,1942
William Benton,Florida,1942
Fred Lamar Tillis,Florida,1942
Robert E. Gatlin,Florida,1942
Richard S. Booth,Florida,1943
Edward O'Brien Pursell,Florida,1944
Robert Max Suarez,Florida,1944
Jesse F. Beerbower,Florida,1944
William Henry Hunt,Florida,1945
Harry F. Raines,Florida,1945
Atticus Haygood Ellzey,Florida,1945
Ellis V. Dyal,Florida,1946
John Milledge,Florida,1946
Richard M. Scarborough,Florida,1946
Johnnie Young,Florida,1947
Earl Sharp,Florida,1947
R. Dwight Johnston,Florida,1947
Leroy C. Bender,Florida,1947
James J. Goodson,Florida,1947
Benjamin J. Carroll,Florida,1947
Fred W. Higginbotham,Florida,1947
"Frampton Pope Wichman, Jr.",Florida,1948
"John Herbert ""Bert"" McCabe",Florida,1948
William R. Brannon,Florida,1948
Morris D. Lopez,Florida,1949
Mose A. Hill,Florida,1950
James R. Fields,Florida,1950
Johnny Ingram,Florida,1951
"Edward Porter, Jr.",Florida,1951
James H. Brigman,Florida,1951
Joseph Bascom Jordan,Florida,1951
Wayne Coram,Florida,1951
Louis J. Champa,Florida,1951
Luther T. Hardison,Florida,1951
"Leroy Joseph LaFleur, Sr.",Florida,1951
William Franklin Brantley,Florida,1952
Robert Quincy Tucker,Florida,1952
"Thomas A. Robinson, Jr.",Florida,1953
John F. Gradon,Florida,1953
Grant R. Dohner,Florida,1953
"Edward Emile Fritz, Jr.",Florida,1953
Halley C. Strickland,Florida,1954
"Jeremiah ""Jerry"" Mattox",Florida,1954
A. G. Bush,Florida,1954
Bud T. Smith,Florida,1954
Joseph Elmer Whitworth,Florida,1954
Carl Strickland,Florida,1954
Mahlon Otis Tuck,Florida,1955
Curtis Youngblood,Florida,1955
Robert Wooten,Florida,1955
James G. Godwin,Florida,1955
William Clinton Rigby,Florida,1955
"Roland E. Davis, Sr.",Florida,1955
Roscoe H. Hargett,Florida,1955
William Burtis Jackson,Florida,1956
Gordon Elmer Stotz,Florida,1956
Napolean B. Harvey,Florida,1956
Mark Read,Florida,1956
Henry F. Wilton,Florida,1956
Arthur Fillebrown,Florida,1957
Billy Howard Stephens,Florida,1957
Robert Joseph Staab,Florida,1957
Leonard Claude Tribble,Florida,1958
Carl F. Chastain,Florida,1958
John Thomas Burlinson,Florida,1958
Corwin Marcus Starry,Florida,1958
Len Burt Adams,Florida,1958
Clinton Murphy Hyde,Florida,1959
Bart Dell Broxson,Florida,1959
"Festus Alvah Tatum, Jr.",Florida,1959
Glenn R. Faulk,Florida,1959
Dalton Fleming,Florida,1959
Charles Sea,Florida,1959
Ernest Charles Register,Florida,1960
Jerome R. Christman,Florida,1960
Hal P. Croft,Florida,1961
Gene A. Bessette,Florida,1961
Edwin J. Gasque,Florida,1961
William E. McCooley,Florida,1962
Jerrel E. Ferguson,Florida,1962
"Ben P. Wilder, Jr.",Florida,1962
John E. Owen,Florida,1962
"Earl Lee Johnson, Jr.",Florida,1962
Aaron Lee Creel,Florida,1963
James A. Krupp,Florida,1964
James Edgar Hillberry,Florida,1964
Carlos S. Stuteville,Florida,1964
Howard Daniel Starling,Florida,1964
Amos Cox,Florida,1965
William D. Krikava,Florida,1965
Owen Karl Bender,Florida,1965
"Sherman Lee Scott, Jr.",Florida,1965
Lester B. Sumner,Florida,1965
"Bobby L. Corley, Sr.",Florida,1965
"James W. Parr, Sr.",Florida,1966
Marvin J. Albritton,Florida,1966
Willie B. Ellis,Florida,1966
Gabriel Morris Fish,Florida,1966
Sidney Crenshaw,Florida,1966
"Joseph Newton Sawtell, Jr.",Florida,1966
"Hugo Max Becker, Jr.",Florida,1966
Joseph Mallory Gassman,Florida,1966
Paul Andrew Powell,Florida,1967
"Harry Lorain Conyers, Jr.",Florida,1967
Clarence Leo Wagner,Florida,1967
Charles Lee Eustes,Florida,1967
"Charles Thomas Driggers, Sr.",Florida,1967
David Richard Van Curler,Florida,1967
Joseph Paul Bertrand,Florida,1967
Donald Clark Williams,Florida,1967
Walter Franklin Stathers,Florida,1967
Fred Earl Babb,Florida,1967
William Harold Fletcher,Florida,1967
William L. Griffin,Florida,1967
"Paul G. Anderson, Jr.",Florida,1967
Harold L. Hart,Florida,1968
Jake B. Edwards,Florida,1968
"Donald E. Kirby, Jr.",Florida,1968
James G. Thompson,Florida,1968
Mitchell L. Nutter,Florida,1968
Ronald F. McLeod,Florida,1969
Peter Mayo Price,Florida,1969
Lanny Rhea Langford,Florida,1969
Leon Walker,Florida,1970
"Rolland Lane, II",Florida,1970
Carl W. Cox,Florida,1970
John C. Hagerty,Florida,1970
Lee A. Hutchinson,Florida,1970
David Henry Reese,Florida,1970
Khomas Cellus Revels,Florida,1970
John Frederick Passer,Florida,1970
George Mann,Florida,1970
Louie Colin Collins,Florida,1971
Arthur Burdette Dillard,Florida,1971
Samuel Melvin Stephens,Florida,1971
"Victor Butler, Jr.",Florida,1971
James Homer Moon,Florida,1971
Johnny Edward Mitchell,Florida,1971
Henry T. Minard,Florida,1972
James L. Cook,Florida,1972
Gary Vickers,Florida,1972
Maurice E. Anglin,Florida,1972
Richard Keith Eva,Florida,1972
Robert Peter DeKorte,Florida,1972
Edward James Parker,Florida,1972
Herman T. Morris,Florida,1972
Harry Charles Chapin,Florida,1972
Jerry Joseph Genova,Florida,1972
"Charles W. ""Chuck"" Parks",Florida,1973
William F. Gambill,Florida,1973
Phillip Carl Yourman,Florida,1973
Byron William Riley,Florida,1973
Simmons Arrington,Florida,1974
Charles Leroy Wilkerson,Florida,1974
"Sollie Waller Rabun, Jr.",Florida,1974
"Meredith Stanley ""Skip"" Runck, Jr.",Florida,1974
"Victor Joseph MacDonald, Jr.",Florida,1974
Buster Glenn Adams,Florida,1974
Charles Eugene Campbell,Florida,1974
James A. Allen,Florida,1974
Wilburn A. Kelly,Florida,1974
"Harrison Crenshaw, Jr.",Florida,1974
Danese Byron Crowder,Florida,1974
John Daniel Kennedy,Florida,1974
Walter Demitrie Ilyankoff,Florida,1974
Glenn A. Rainey,Florida,1974
Andrew Redding,Florida,1974
Warren David Jones,Florida,1975
Michael David Stewart,Florida,1975
Richard Lee Cloud,Florida,1975
Robert O. Moore,Florida,1975
"Kenneth D. Berlin, Jr.",Florida,1975
Ronald Alfred Parker,Florida,1975
Anthony Wayne Williams,Florida,1975
Henry Nelson Adams,Florida,1975
Norman Alvin Drew,Florida,1975
"Samuel Parker, Jr.",Florida,1975
Audie Motes,Florida,1975
William L. Emerson,Florida,1975
Kenneth E. Flynt,Florida,1976
Jimmie Roger Moore,Florida,1976
Richard D. Howell,Florida,1976
Phillip A. Black,Florida,1976
Walter Fredrick Irey,Florida,1976
Paul Jordan,Florida,1976
Michael David Yahl,Florida,1976
Richard Miles Watkins,Florida,1976
