Name,Age,Cause
Thorr,5.0,Automobile crash
Atlas,6.0,Duty related illness
Lyka Lukas,4.0,Fall
Leo,3.0,Heatstroke
Django,5.0,Heatstroke
Joker,1.0,Other
Luna,3.0,Gunfire
Kozmo,5.0,Other
Jaeger,6.0,Fall
Byrd,6.0,Heatstroke
Zena,2.0,Heatstroke
Max,3.0,Gunfire
Rogue,9.0,Other
Kitt,12.0,Gunfire
Duke,5.0,Heatstroke
Riggs,2.0,Other
Tito,4.0,Heatstroke
Jas,3.0,Automobile crash
Riley,5.0,Gunfire
Khan,4.0,Heatstroke
Axel,3.0,Duty related illness
Drago,5.0,Heatstroke
Odin,4.0,Other
Rocket,7.0,Heatstroke
Major,3.0,Gunfire
Exo,2.0,Gunfire
Mina,5.0,Other
Jinx,3.0,Gunfire
Maya,6.0,Gunfire
Frankie,10.0,Gunfire
Blue,7.0,Automobile crash
Cannon,5.0,Heatstroke
Pepper,3.0,Other
Bluz,7.0,Heatstroke
Max,7.0,Gunfire
Drago,5.0,Gunfire
Jedi,5.0,Stabbed
Nitro II,1.0,Other
Beni,7.0,Struck by vehicle
Lux,4.0,Heatstroke
Hannes,3.0,Heatstroke
Ciro,5.0,Other
