Name,Age,Cause
"William ""Apache Bill"" Semans",35.0,Gunfire
Michael Baer,31.0,Gunfire
Leonard C. DeLisle,35.0,Gunfire
Henry Gonzalvo Woods,53.0,Gunfire
John T. Thompson,38.0,Gunfire
Thomas Wilson Napier,51.0,Gunfire
Daniel McMullen,30.0,Other
Nelson Maxey,55.0,Gunfire
Thomas D. Moore,31.0,Other
Theodore W. Moses,29.0,Gunfire
Andrew Jackson Jacobs,50.0,Gunfire
John A. Branagan,42.0,Other
William R. Cray,26.0,Other
Joseph Anderson Seay,42.0,Other
Seth A. Noyes,41.0,Other
Donald G. Tourgee,45.0,Other
Dennis Sullivan,50.0,Other
David William L. Mizell,36.0,Gunfire
James M. Walker,47.0,Other
Walter Richarz,24.0,Other
James Murphy,23.0,Other
Joseph R. Riff,23.0,Other
Festus Sprague,39.0,Gunfire
Thomas J. Smith,40.0,Gunfire
Lorenzo Biediger,24.0,Other
John H. Wisner,28.0,Gunfire
Albert M. Swift,35.0,Other
William Rufus Story,31.0,Gunfire
Charles Minot Packard,31.0,Gunfire
Dennis J. Kelly,43.0,Gunfire
John Regan,45.0,Other
"Jeremiah ""Jere"" McCheane",51.0,Other
john Henry Bodine,33.0,Gunfire
Wyatt Outlaw,50.0,Other
Eli Stallings,27.0,Gunfire
Richard O. Busch,30.0,Gunfire
Gaylord Lyman,42.0,Gunfire
Michael McCarthy,45.0,Other
William Warren,34.0,Gunfire
John A. McClain,38.0,Gunfire
John P. Meagher,34.0,Other
William Johnson,35.0,Other
James T. Cox,45.0,Other
William Willard,51.0,Other
A. G. Hearn,27.0,Other
William M. Thompson,34.0,Gunfire
Julius Schultz,42.0,Other
David W. Harvell,29.0,Gunfire
Robert J. Morrison,38.0,Gunfire
Charles J. Walsh,27.0,Other
Niels L. Hansen,27.0,Other
Alden McLaughlin,30.0,Gunfire
Jacob H. Baughman,59.0,Gunfire
Samuel T. Herrington,32.0,Other
General Bell,21.0,Gunfire
John McIver,63.0,Gunfire
Jack B. Archer,37.0,Gunfire
Jim Smalley,24.0,Gunfire
James T. Dana,34.0,Other
Isaac Jones,34.0,Other
Moses Ford,48.0,Other
F. M. Isaacs,39.0,Gunfire
Carlos B. King,29.0,Gunfire
Clinton Gilbert,25.0,Gunfire
John Birdwell,59.0,Gunfire
Joseph Clark,50.0,Gunfire
"David Wilber, Jr.",41.0,Gunfire
James McMahan,27.0,Gunfire
Laban John Hoffman,31.0,Gunfire
John H. Richards,41.0,Gunfire
Green Paramore,26.0,Gunfire
Robert Steen,42.0,Gunfire
Ellis T. Jenkins,30.0,Gunfire
Francis M. Doyle,38.0,Gunfire
Charles H. Nichols,30.0,Gunfire
William Hicks Reeves,28.0,Gunfire
William Anderson Looper,22.0,Gunfire
Riley Woods,22.0,Gunfire
William Beck,38.0,Gunfire
John Stack,25.0,Other
Caleb N. Keith,26.0,Gunfire
Juan C. Tafoya,51.0,Gunfire
William Hicks,38.0,Gunfire
Lewis H. Lare,52.0,Gunfire
Patrick O'Meara,38.0,Gunfire
Jacob G. Owens,39.0,Gunfire
Clement McCausland,32.0,Other
John Americas Stewart,31.0,Gunfire
Mansel W. Rasbury,36.0,Gunfire
Phillip Lambreck,27.0,Other
Daniel Jackson Brownell,40.0,Gunfire
Francis J. Fullum,39.0,Other
Charles F. Lehman,44.0,Gunfire
George Selvidge,27.0,Gunfire
Daniel McGonigle,26.0,Gunfire
Jeremiah Lynch,45.0,Other
Samuel Calvert,40.0,Other
James B. Rogers,35.0,Gunfire
C. M. Taylor,26.0,Gunfire
"Henry Franklin ""Frank"" Griffin",31.0,Gunfire
John C. Stephenson,27.0,Other
Thomas G. Williams,28.0,Gunfire
Ora M. Nason,42.0,Other
Thomas Marshall Baldwin,27.0,Other
Simmons D. Alsobrook,43.0,Gunfire
John P. Fries,24.0,Gunfire
James Harris Rosser,31.0,Other
James M. Daniels,47.0,Gunfire
Granville A. Hayden,36.0,Other
Chauncey Belden Whitney,31.0,Gunfire
John Frank Green,33.0,Gunfire
John Ferguson,30.0,Other
James T. Harvey,28.0,Other
Andrew Melville,25.0,Gunfire
Wesley Cherry,36.0,Gunfire
Albert H. Bowen,47.0,Gunfire
John Stark,41.0,Gunfire
Christian Jacobs,37.0,Gunfire
Patrick Gorman,35.0,Other
Edward L. Burns,37.0,Other
William A. Burton,26.0,Gunfire
Henry C. Banks,21.0,Gunfire
